CustomerKey,TotalSpent,AvgTransactionValue,TransactionCount,TotalQuantity,UniqueInvoices,ProductDiversity,Country,MonthSpread,WeekendPreference,AvgPricePreference,Country_encoded,CustomerValueCategory
212,1560.98,390.24,4,142,2,3,Germany,2,0.0,9.17,4,Medium
213,417.48,417.48,1,21,1,1,Belgium,1,0.0,19.88,1,Low
214,2434.17,486.83,5,158,3,3,Poland,3,0.0,15.624,11,Medium
215,1449.58,241.6,6,139,5,4,EIRE,5,0.333,11.635,2,Medium
216,1925.45,385.09,5,138,4,4,Belgium,4,0.4,11.746,1,Medium
217,418.26,209.13,2,38,2,2,Portugal,2,0.5,14.55,12,Low
218,3386.52,307.87,11,271,4,6,Iceland,4,0.455,12.535,5,High
219,3129.27,347.7,9,211,5,6,Lithuania,5,0.0,13.807,8,High
220,1436.64,478.88,3,84,2,3,Portugal,2,0.0,17.4,12,Medium
221,545.49,136.37,4,38,3,3,Lithuania,2,1.0,13.258,8,Low
222,2589.88,517.98,5,175,4,5,France,3,0.0,14.962,3,High
223,5289.58,406.89,13,395,5,7,Germany,4,0.692,13.645,4,High
224,3412.79,341.28,10,329,5,5,Australia,3,0.0,11.175,0,High
225,1679.59,559.86,3,78,3,3,Iceland,3,1.0,18.837,5,Medium
226,3593.55,276.43,13,333,6,7,Netherlands,6,0.615,10.421,9,High
227,527.51,263.76,2,53,1,2,Lithuania,1,1.0,10.165,8,Low
228,2541.36,423.56,6,167,1,4,Switzerland,1,1.0,14.335,14,Medium
229,2924.37,365.55,8,239,3,5,United Kingdom,3,0.125,13.992,15,High
230,542.44,180.81,3,57,1,2,Switzerland,1,1.0,16.55,14,Low
231,3267.78,363.09,9,227,5,5,France,5,0.0,14.096,3,High
232,302.89,151.45,2,60,2,2,Italy,2,0.5,5.145,6,Low
233,2371.21,237.12,10,237,6,4,Norway,5,0.0,10.389,10,Medium
234,2107.94,191.63,11,240,4,7,Portugal,4,0.364,9.371,12,Medium
235,2997.61,374.7,8,189,5,5,Japan,4,0.5,15.605,7,High
236,962.27,962.27,1,41,1,1,Belgium,1,1.0,23.47,1,Low
237,2226.57,222.66,10,249,6,6,Australia,4,0.4,11.596,0,Medium
238,2371.21,237.12,10,237,6,4,Portugal,5,0.0,10.389,12,Medium
239,1440.92,288.18,5,78,3,3,EIRE,3,0.0,18.484,2,Medium
240,1436.34,287.27,5,135,3,4,France,3,0.0,9.912,3,Medium
241,1436.34,287.27,5,135,3,4,Iceland,3,0.0,9.912,5,Medium
242,1103.39,220.68,5,163,2,5,Switzerland,2,0.4,11.65,14,Low
243,4396.96,399.72,11,271,4,6,Belgium,4,0.455,16.043,1,High
244,1658.88,331.78,5,124,2,3,Switzerland,2,0.4,13.878,14,Medium
245,3122.44,283.86,11,272,7,7,Italy,4,0.545,12.321,6,High
246,2562.86,284.76,9,154,4,6,Poland,2,0.667,13.949,11,Medium
247,618.77,154.69,4,106,4,3,Australia,2,0.25,7.177,0,Low
248,5289.58,406.89,13,395,5,7,Portugal,4,0.692,13.645,12,High
249,1914.16,319.03,6,166,3,5,Iceland,2,0.0,11.918,5,Medium
250,560.07,140.02,4,65,2,3,Portugal,2,0.0,13.43,12,Low
251,2562.86,284.76,9,154,4,6,Iceland,2,0.667,13.949,5,Medium
252,3036.9,433.84,7,198,3,6,France,3,0.571,15.917,3,High
253,2156.59,359.43,6,190,3,5,Belgium,3,0.0,11.795,1,Medium
254,667.06,222.35,3,56,2,2,EIRE,2,0.0,14.753,2,Low
255,3004.3,375.54,8,282,2,5,Belgium,2,0.25,10.62,1,High
256,275.96,137.98,2,19,2,2,Japan,2,0.0,16.26,7,Low
257,3121.43,390.18,8,244,2,5,Italy,2,0.625,12.06,6,High
258,1478.43,211.2,7,135,5,4,Germany,3,0.429,11.64,4,Medium
259,1996.25,181.48,11,155,5,6,Germany,4,0.0,16.342,4,Medium
260,3735.77,311.31,12,320,4,7,Belgium,4,0.083,11.82,1,High
261,551.3,551.3,1,37,1,1,Lithuania,1,0.0,14.9,8,Low
262,4652.44,387.7,12,297,4,5,Netherlands,3,0.0,16.837,9,High
263,1760.1,440.02,4,102,2,4,Belgium,2,0.5,16.228,1,Medium
264,1785.66,357.13,5,126,4,4,Germany,2,0.2,10.178,4,Medium
265,1803.31,257.62,7,110,4,5,Iceland,4,0.286,18.454,5,Medium
266,2434.17,486.83,5,158,3,3,France,3,0.0,15.624,3,Medium
267,3104.11,310.41,10,280,6,6,Belgium,4,0.7,12.456,1,High
268,3215.0,401.88,8,269,3,4,Spain,3,0.625,10.789,13,High
269,5289.67,440.81,12,396,4,5,Netherlands,2,0.0,14.445,9,High
270,5289.58,406.89,13,395,5,7,EIRE,4,0.692,13.645,2,High
271,3104.11,310.41,10,280,6,6,Poland,4,0.7,12.456,11,High
272,1299.16,433.05,3,101,2,2,Germany,2,0.0,14.11,4,Low
273,1313.68,437.89,3,110,2,3,Portugal,2,0.0,12.0,12,Low
274,1996.25,181.48,11,155,5,6,Netherlands,4,0.0,16.342,9,Medium
275,4678.19,389.85,12,308,4,6,Norway,2,0.167,14.066,10,High
276,1238.83,247.77,5,73,1,3,EIRE,1,0.0,15.898,2,Low
277,2815.94,234.66,12,261,7,5,Switzerland,5,0.333,12.011,14,High
278,1686.62,187.4,9,174,3,5,United Kingdom,3,0.111,10.543,15,Medium
279,684.09,342.04,2,75,2,2,Germany,2,0.0,9.985,4,Low
280,5141.08,367.22,14,377,6,6,Spain,4,0.0,13.02,13,High
281,1449.58,241.6,6,139,5,4,Netherlands,5,0.333,11.635,9,Medium
282,262.5,52.5,5,60,3,4,EIRE,3,0.2,10.53,2,Low
283,2018.72,224.3,9,203,3,4,Iceland,3,0.0,7.674,5,Medium
284,3593.55,276.43,13,333,6,7,Iceland,6,0.615,10.421,5,High
285,840.07,280.02,3,69,2,3,Switzerland,2,1.0,11.723,14,Low
286,1803.31,257.62,7,110,4,5,Netherlands,4,0.286,18.454,9,Medium
287,2510.16,358.59,7,181,3,5,Portugal,3,0.286,12.639,12,Medium
288,356.43,178.22,2,47,2,2,France,1,0.5,8.865,3,Low
289,2746.27,392.32,7,181,2,6,Japan,2,0.857,16.099,7,High
290,963.07,240.77,4,73,2,3,Iceland,2,0.0,15.642,5,Low
291,2148.11,268.51,8,150,3,6,Switzerland,3,0.0,13.599,14,Medium
292,1027.26,205.45,5,107,2,5,Switzerland,2,0.2,10.548,14,Low
293,2997.61,374.7,8,189,5,5,Switzerland,4,0.5,15.605,14,High
294,1692.13,423.03,4,107,3,3,Belgium,3,0.5,14.405,1,Medium
295,1051.28,131.41,8,146,4,6,Poland,3,0.0,8.051,11,Low
296,2395.65,399.28,6,165,3,5,France,2,0.333,14.87,3,Medium
297,731.48,243.83,3,67,2,3,Portugal,2,0.667,10.02,12,Low
298,1308.6,436.2,3,105,1,2,Norway,1,1.0,10.31,10,Low
299,3378.52,422.32,8,219,4,4,Netherlands,4,0.0,14.851,9,High
300,4974.05,414.5,12,411,4,5,Iceland,3,0.917,12.147,5,High
301,1658.88,331.78,5,124,2,3,Poland,2,0.4,13.878,11,Medium
302,5289.58,406.89,13,395,5,7,Norway,4,0.692,13.645,10,High
303,777.99,259.33,3,46,2,3,Iceland,1,1.0,12.203,5,Low
304,2631.95,292.44,9,250,5,5,Spain,5,0.333,9.646,13,High
305,6393.14,376.07,17,441,5,7,Italy,4,0.0,13.662,6,High
306,3378.52,422.32,8,219,4,4,Italy,4,0.0,14.851,6,High
307,512.32,128.08,4,70,2,3,Netherlands,2,0.5,6.84,9,Low
308,1507.47,301.49,5,123,2,4,Germany,2,0.0,13.494,4,Medium
309,3122.44,283.86,11,272,7,7,Switzerland,4,0.545,12.321,14,High
310,895.66,298.55,3,93,3,3,Portugal,3,0.667,11.293,12,Low
311,3166.28,351.81,9,232,3,4,Italy,2,0.0,13.966,6,High
312,321.84,160.92,2,58,2,1,Australia,2,0.0,3.78,0,Low
313,3735.77,311.31,12,320,4,7,Australia,4,0.083,11.82,0,High
314,2226.57,222.66,10,249,6,6,Lithuania,4,0.4,11.596,8,Medium
315,1158.36,144.79,8,139,3,5,Australia,2,0.625,9.848,0,Low
316,14.53,14.53,1,1,1,1,Germany,1,0.0,14.53,4,Low
317,3121.43,390.18,8,244,2,5,Poland,2,0.625,12.06,11,High
318,754.8,377.4,2,80,1,2,Switzerland,1,0.0,9.435,14,Low
319,1086.93,181.16,6,157,2,4,Italy,2,0.5,6.822,6,Low
320,4652.44,387.7,12,297,4,5,Norway,3,0.0,16.837,10,High
321,1436.64,478.88,3,84,2,3,EIRE,2,0.0,17.4,2,Medium
322,1760.1,440.02,4,102,2,4,Spain,2,0.5,16.228,13,Medium
323,1086.93,181.16,6,157,2,4,Germany,2,0.5,6.822,4,Low
324,1507.47,301.49,5,123,2,4,Portugal,2,0.0,13.494,12,Medium
325,3166.28,351.81,9,232,3,4,Belgium,2,0.0,13.966,1,High
326,913.07,304.36,3,93,2,3,Norway,2,0.0,9.697,10,Low
327,1679.59,559.86,3,78,3,3,Norway,3,1.0,18.837,10,Medium
328,3575.39,397.27,9,261,3,5,United Kingdom,3,0.0,14.081,15,High
329,1785.66,357.13,5,126,4,4,Belgium,2,0.2,10.178,1,Medium
330,5289.67,440.81,12,396,4,5,Lithuania,2,0.0,14.445,8,High
331,1785.66,357.13,5,126,4,4,Iceland,2,0.2,10.178,5,Medium
332,1914.16,319.03,6,166,3,5,Lithuania,2,0.0,11.918,8,Medium
333,71.02,23.67,3,42,1,3,Lithuania,1,0.0,7.613,8,Low
334,3318.48,331.85,10,299,4,4,Iceland,3,0.2,9.841,5,High
335,2058.35,294.05,7,177,3,3,Switzerland,3,0.143,13.097,14,Medium
336,120.6,120.6,1,10,1,1,United Kingdom,1,0.0,12.06,15,Low
337,92.52,92.52,1,6,1,1,Spain,1,0.0,15.42,13,Low
338,1351.63,270.33,5,100,2,4,Poland,2,0.0,17.996,11,Medium
339,3036.9,433.84,7,198,3,6,Australia,3,0.571,15.917,0,High
340,2226.57,222.66,10,249,6,6,Norway,4,0.4,11.596,10,Medium
341,2866.37,573.27,5,160,2,4,Japan,2,0.0,18.834,7,High
342,1788.02,357.6,5,110,2,4,Spain,2,0.2,14.902,13,Medium
343,1785.66,357.13,5,126,4,4,EIRE,2,0.2,10.178,2,Medium
344,1108.5,369.5,3,55,3,3,Norway,2,0.0,16.483,10,Low
345,2148.11,268.51,8,150,3,6,EIRE,3,0.0,13.599,2,Medium
346,1027.26,205.45,5,107,2,5,Belgium,2,0.2,10.548,1,Low
347,1313.68,437.89,3,110,2,3,Iceland,2,0.0,12.0,5,Low
348,2018.72,224.3,9,203,3,4,Norway,3,0.0,7.674,10,Medium
349,2457.24,614.31,4,138,2,3,Portugal,2,0.0,18.585,12,Medium
350,2794.96,232.91,12,305,6,6,Norway,6,0.083,10.066,10,High
351,2058.35,294.05,7,177,3,3,Japan,3,0.143,13.097,7,Medium
352,684.09,342.04,2,75,2,2,France,2,0.0,9.985,3,Low
353,1051.28,131.41,8,146,4,6,Germany,3,0.0,8.051,4,Low
354,1146.03,382.01,3,68,1,2,Japan,1,0.0,17.123,7,Low
355,3318.48,331.85,10,299,4,4,Spain,3,0.2,9.841,13,High
356,2068.22,344.7,6,164,3,4,Iceland,3,0.5,13.033,5,Medium
357,1702.8,283.8,6,114,2,4,Belgium,2,0.0,12.352,1,Medium
358,2815.94,234.66,12,261,7,5,Germany,5,0.333,12.011,4,High
359,1925.45,385.09,5,138,4,4,EIRE,4,0.4,11.746,2,Medium
360,1871.08,170.1,11,157,3,6,France,2,1.0,14.227,3,Medium
361,2018.72,224.3,9,203,3,4,Germany,3,0.0,7.674,4,Medium
362,4652.44,387.7,12,297,4,5,Germany,3,0.0,16.837,4,High
363,391.68,391.68,1,18,1,1,Italy,1,0.0,21.76,6,Low
364,527.18,263.59,2,72,2,2,Australia,2,0.0,7.39,0,Low
365,2589.88,517.98,5,175,4,5,United Kingdom,3,0.0,14.962,15,High
366,1051.28,131.41,8,146,4,6,Italy,3,0.0,8.051,6,Low
367,329.56,109.85,3,16,2,3,Australia,1,0.0,19.893,0,Low
368,2794.96,232.91,12,305,6,6,Japan,6,0.083,10.066,7,High
369,1790.14,358.03,5,108,2,4,Belgium,2,0.8,12.028,1,Medium
370,418.26,209.13,2,38,2,2,Japan,2,0.5,14.55,7,Low
371,3593.55,276.43,13,333,6,7,Belgium,6,0.615,10.421,1,High
372,1734.64,433.66,4,123,1,3,Iceland,1,1.0,15.872,5,Medium
373,5540.14,346.26,16,465,3,7,Switzerland,3,0.375,11.682,14,High
374,1156.86,192.81,6,119,2,5,Japan,1,0.0,8.933,7,Low
375,499.06,249.53,2,66,1,2,Netherlands,1,1.0,7.19,9,Low
376,5141.08,367.22,14,377,6,6,France,4,0.0,13.02,3,High
377,2815.94,234.66,12,261,7,5,Poland,5,0.333,12.011,11,High
378,718.54,143.71,5,155,2,4,Iceland,2,0.6,5.054,5,Low
379,1440.92,288.18,5,78,3,3,Poland,3,0.0,18.484,11,Medium
380,494.56,494.56,1,22,1,1,Spain,1,0.0,22.48,13,Low
381,3636.67,303.06,12,272,4,5,Belgium,3,0.667,12.931,1,High
382,1103.39,220.68,5,163,2,5,Australia,2,0.4,11.65,0,Low
383,677.32,338.66,2,97,2,2,Japan,2,0.5,6.985,7,Low
384,356.43,178.22,2,47,2,2,Norway,1,0.5,8.865,10,Low
385,736.15,245.38,3,63,2,3,Switzerland,2,0.0,11.377,14,Low
386,1207.99,201.33,6,121,3,5,Iceland,3,0.167,11.69,5,Low
387,3412.79,341.28,10,329,5,5,Lithuania,3,0.0,11.175,8,High
388,262.5,52.5,5,60,3,4,Netherlands,3,0.2,10.53,9,Low
389,389.2,389.2,1,20,1,1,Poland,1,0.0,19.46,11,Low
390,2031.73,507.93,4,111,2,3,Poland,2,0.5,16.242,11,Medium
391,2796.21,233.02,12,346,5,6,Belgium,4,0.083,8.147,1,High
392,1737.61,579.2,3,112,2,2,Netherlands,2,0.0,15.267,9,Medium
393,3057.88,436.84,7,219,3,4,Belgium,2,0.0,14.989,1,High
394,6393.14,376.07,17,441,5,7,Poland,4,0.0,13.662,11,High
395,3593.55,276.43,13,333,6,7,Australia,6,0.615,10.421,0,High
396,1790.14,358.03,5,108,2,4,Switzerland,2,0.8,12.028,14,Medium
397,512.32,128.08,4,70,2,3,EIRE,2,0.5,6.84,2,Low
398,840.07,280.02,3,69,2,3,Australia,2,1.0,11.723,0,Low
399,5289.67,440.81,12,396,4,5,Portugal,2,0.0,14.445,12,High
400,262.5,52.5,5,60,3,4,Poland,3,0.2,10.53,11,Low
401,2562.86,284.76,9,154,4,6,Belgium,2,0.667,13.949,1,Medium
402,3318.48,331.85,10,299,4,4,Australia,3,0.2,9.841,0,High
403,2371.21,237.12,10,237,6,4,Japan,5,0.0,10.389,7,Medium
404,963.07,240.77,4,73,2,3,Poland,2,0.0,15.642,11,Low
405,3735.77,311.31,12,320,4,7,Portugal,4,0.083,11.82,12,High
406,432.07,144.02,3,83,2,3,Netherlands,2,0.0,5.99,9,Low
407,24.06,24.06,1,2,1,1,Japan,1,0.0,12.03,7,Low
408,695.53,173.88,4,110,2,3,France,2,0.0,7.332,3,Low
409,1829.54,304.92,6,142,3,4,Germany,3,0.0,11.83,4,Medium
410,2395.65,399.28,6,165,3,5,Belgium,2,0.333,14.87,1,Medium
411,3273.23,409.15,8,252,2,5,Poland,2,0.25,13.449,11,High
412,742.91,123.82,6,93,2,5,Netherlands,2,0.0,9.303,9,Low
413,2107.94,191.63,11,240,4,7,Germany,4,0.364,9.371,4,Medium
414,731.48,243.83,3,67,2,3,Italy,2,0.667,10.02,6,Low
415,259.13,129.56,2,23,1,2,Norway,1,0.0,10.84,10,Low
416,2796.21,233.02,12,346,5,6,United Kingdom,4,0.083,8.147,15,High
417,3735.77,311.31,12,320,4,7,Switzerland,4,0.083,11.82,14,High
418,3636.67,303.06,12,272,4,5,Spain,3,0.667,12.931,13,High
419,2148.11,268.51,8,150,3,6,Netherlands,3,0.0,13.599,9,Medium
420,4678.19,389.85,12,308,4,6,Italy,2,0.167,14.066,6,High
421,1153.4,288.35,4,83,4,3,EIRE,3,0.25,14.598,2,Low
422,3122.44,283.86,11,272,7,7,Netherlands,4,0.545,12.321,9,High
423,128.88,128.88,1,6,1,1,Netherlands,1,0.0,21.48,9,Low
424,1628.3,203.54,8,209,6,6,Netherlands,4,0.25,10.036,9,Medium
425,3575.39,397.27,9,261,3,5,Japan,3,0.0,14.081,7,High
